id,retweet_count,favorite_count
892420643555336193,8853,39467
892177421306343426,6514,33819
891815181378084864,4328,25461
891689557279858688,8964,42908
891327558926688256,9774,41048
891087950875897856,3261,20562
890971913173991426,2158,12041
890729181411237888,16716,56848
890609185150312448,4429,28226
890240255349198849,7711,32467
890006608113172480,7624,31166
889880896479866881,5156,28268
889665388333682689,8538,38818
889638837579907072,4735,27672
889531135344209921,2321,15359
889278841981685760,5637,25652
888917238123831296,4709,29611
888804989199671297,4559,26080
888554962724278272,3732,20290
888078434458587136,3653,22201
887705289381826560,5609,30779
887517139158093824,12082,46959
887473957103951883,18781,69871
887343217045368832,10737,34222
887101392804085760,6167,31061
886983233522544640,8084,35859
886736880519319552,3443,12306
886680336477933568,4610,22798
886366144734445568,3316,21524
886267009285017600,4,117
886258384151887873,6523,28469
886054160059072513,108,0
885984800019947520,7097,33382
885528943205470208,6683,36689
885518971528720385,3899,20788
885311592912609280,19297,0
885167619883638784,4556,22367
884925521741709313,16439,68152
884876753390489601,6096,28514
884562892145688576,5100,24765
884441805382717440,5856,27478
884247878851493888,21298,74423
884162670584377345,3128,20771
883838122936631299,3586,22349
883482846933004288,10407,46860
883360690899218434,3825,22986
883117836046086144,6949,37914
882992080364220416,4122,24445
882762694511734784,5134,28903
882627270321602560,6342,28382
882268110199369728,12118,45880
882045870035918850,5203,29900
881906580714921986,3533,24773
881666595344535552,11099,51522
881633300179243008,7,129
881536004380872706,16570,50199
881268444196462592,5358,23501
880935762899988482,2886,17346
880872448815771648,3989,21734
880465832366813184,6546,29075
880221127280381952,4436,27640
880095782870896641,4533,28150
879862464715927552,3642,22667
879674319642796034,10,315
879492040517615616,3323,23822
879415818425184262,45849,107956
879376492567855104,3261,17099
879130579576475649,7181,0
879050749262655488,4941,23022
879008229531029506,2812,19317
878776093423087618,4319,19763
878604707211726852,7582,30931
878404777348136964,1349,0
878316110768087041,6965,0
878281511006478336,1349,7913
878057613040115712,7181,42876
877736472329191424,17300,71144
877611172832227328,83,0
877556246731214848,3994,23258
877316821321428993,5414,27907
877201837425926144,5880,27755
876838120628539392,3506,21125
876537666061221889,4800,23869
876484053909872640,2511,19163
876120275196170240,4903,28490
875747767867523072,4497,25773
875144289856114688,5081,22185
875097192612077568,6342,27997
875021211251597312,4922,26022
874680097055178752,4875,28439
874434818259525634,15546,0
874296783580663808,4308,26651
874057562936811520,4125,23134
874012996292530176,11007,35501
873697596434513921,12518,0
873580283840344065,4143,24837
873337748698140672,1667,0
873213775632977920,1667,7467
872967104147763200,5669,28031
872820683541237760,3884,15029
872668790621863937,31,0
872620804844003328,3911,21309
872486979161796608,9429,41606
872261713294495745,6649,35085
872122724285648897,8549,35324
871879754684805121,11918,39090
871762521631449091,3678,20787
871515927908634625,3628,20730
871166179821445120,5991,0
871102520638267392,5764,21461
871032628920680449,3999,23255
870804317367881728,6393,33791
870726314365509632,3,121
870656317836468226,2817,12819
870374049280663552,27680,85011
870308999962521604,4384,22453
870063196459192321,8840,37771
869988702071779329,25661,0
869772420881756160,10663,43710
869702957897576449,6728,29116
869596645499047938,3327,16476
869227993411051520,4023,21112
868880397819494401,12518,55098
868639477480148993,2240,0
868622495443632128,6275,28295
868552278524837888,2240,10539
867900495410671616,4439,24964
867774946302451713,7788,35179
867421006826221569,2697,16755
867072653475098625,135,0
867051520902168576,8425,33420
866816280283807744,32883,0
866720684873056260,5168,20888
866686824827068416,3727,20070
866450705531457537,32883,106827
866334964761202691,15546,54720
866094527597207552,8952,0
865718153858494464,6008,26640
865359393868664832,5384,27530
865006731092295680,8209,29063
864873206498414592,9361,33651
864279568663928832,3266,15195
864197398364647424,9616,31459
863907417377173506,4441,21477
863553081350529029,4489,15935
863471782782697472,2687,0
863432100342583297,5664,24829
863427515083354112,105,2363
863079547188785154,1195,9094
863062471531167744,2687,8945
862831371563274240,5457,20011
862722525377298433,3809,17779
862457590147678208,5388,21492
862096992088072192,21840,66437
861769973181624320,37911,0
861383897657036800,11528,37744
861288531465048066,4479,18032
861005113778896900,4119,17538
860981674716409858,2334,0
860924035999428608,882,0
860563773140209665,2334,7878
860524505164394496,5698,24678
860276583193509888,3745,19154
860184849394610176,6295,17474
860177593139703809,33421,0
859924526012018688,4349,20021
859851578198683649,3780,16105
859607811541651456,1704,19476
859196978902773760,25661,75193
859074603037188101,14740,35553
858860390427611136,8805,0
858843525470990336,3771,16304
858471635011153920,5271,22640
858107933456039936,3154,16524
857989990357356544,2812,16952
857746408056729600,11524,36021
857393404942143489,1785,6236
857263160327368704,4934,21041
857214891891077121,20,242
857062103051644929,183,0
857029823797047296,4364,19910
856602993587888130,11633,0
856543823941562368,3131,17135
856526610513747968,2068,12446
856330835276025856,731,0
856288084350160898,17,545
856282028240666624,6841,29086
855862651834028034,27,320
855860136149123072,1058,4407
855857698524602368,2313,12498
855851453814013952,19196,47844
855818117272018944,5943,28056
855459453768019968,8987,31657
855245323840757760,6568,0
855138241867124737,50,0
854732716440526848,6690,24188
854482394044301312,7608,31131
854365224396361728,5159,20046
854120357044912130,8285,33911
854010172552949760,3433,17169
853760880890318849,6403,30414
853639147608842240,11265,37198
853299958564483072,3928,16508
852936405516943360,2243,0
852912242202992640,2037,9658
852672615818899456,2388,15939
852553447878664193,3885,17492
852311364735569921,10961,35325
852226086759018497,7570,21378
852189679701164033,1741,12217
851953902622658560,10706,0
851861385021730816,23,0
851591660324737024,3819,17300
851464819735769094,7855,25944
851224888060895234,6350,22090
850753642995093505,10352,33348
850380195714523136,2915,13994
850333567704068097,367,3647
850145622816686080,4244,17519
850019790995546112,5459,21944
849776966551130114,8404,32390
849668094696017920,5513,0
849412302885593088,3487,17039
849336543269576704,2101,12240
849051919805034497,7396,32617
848690551926992896,4826,27104
848324959059550208,4037,20229
848213670039564288,832,8834
848212111729840128,3444,17618
847978865427394560,3652,0
847971574464610304,482,0
847962785489326080,5730,25296
847842811428974592,1522,5935
847617282490613760,468,7558
847606175596138505,3774,20208
847251039262605312,4800,22036
847157206088847362,6572,21588
847116187444137987,3583,23108
846874817362120707,4404,21685
846514051647705089,13076,48410
846505985330044928,3492,15304
846153765933735936,10226,34394
846139713627017216,10972,33188
846042936437604353,3224,17256
845812042753855489,9894,31737
845677943972139009,5365,27154
845459076796616705,15071,0
845397057150107648,2072,8241
845306882940190720,6039,25225
845098359547420673,8640,0
844979544864018432,2909,14738
844973813909606400,3617,16361
844704788403113984,11633,42022
844580511645339650,3533,17871
844223788422217728,2450,14753
843981021012017153,3285,16327
843856843873095681,5220,23211
843604394117681152,3081,18310
843235543001513987,6852,23315
842892208864923648,56625,0
842846295480000512,4023,16440
842765311967449089,1439,7321
842535590457499648,3937,19637
842163532590374912,6568,26569
842115215311396866,3386,15204
841833993020538882,17504,0
841680585030541313,8748,27854
841439858740625411,4168,13755
841320156043304961,6080,21402
841314665196081154,5312,17305
841077006473256960,5991,24926
840761248237133825,1972,0
840728873075638272,18285,0
840698636975636481,3,197
840696689258311684,1116,13377
840632337062862849,1972,9761
840370681858686976,5146,17918
840268004936019968,6497,20950
839990271299457024,2597,14640
839549326359670784,8805,29957
839290600511926273,158,0
839239871831150596,7422,29684
838952994649550848,4505,21289
838921590096166913,2357,12183
838916489579200512,38,0
838831947270979586,12643,0
838561493054533637,1504,11892
838476387338051585,5484,24664
838201503651401729,11525,0
838150277551247360,370,1824
838085839343206401,0,150
838083903487373313,3582,19183
837820167694528512,8952,37277
837482249356513284,495,4204
837471256429613056,2631,13967
837366284874571778,6005,23074
837110210464448512,2731,17480
837012587749474308,88,0
836989968035819520,2610,13879
836753516572119041,5237,21029
836677758902222849,2522,13782
836648853927522308,626,0
836397794269200385,31314,0
836380477523124226,3337,16037
836260088725786625,4850,23177
836001077879255040,4935,20924
835685285446955009,9327,0
835574547218894849,4121,19447
835536468978302976,1939,0
835309094223372289,24013,0
835297930240217089,3381,17847
835264098648616962,1939,8503
835246439529840640,83,2259
835172783151792128,6516,28552
835152434251116546,3443,24574
834931633769889797,1878,11838
834786237630337024,6159,22943
834574053763584002,2882,14993
834477809192075265,12224,0
834458053273591808,1899,10512
834209720923721728,5476,22594
834167344700198914,4130,17194
834089966724603904,2427,10971
834086379323871233,2512,14296
833863086058651648,2729,14661
833826103416520705,3904,16728
833732339549220864,251,0
833722901757046785,3636,22585
833479644947025920,2357,16258
833124694597443584,5513,22133
832998151111966721,2522,14549
832769181346996225,43,0
832757312314028032,4127,18423
832682457690300417,3368,13017
832645525019123713,594,3195
832636094638288896,3220,17379
832397543355072512,2548,13126
832369877331693569,3652,18792
832273440279240704,2673,12385
832215909146226688,7069,0
832215726631055365,10723,0
832088576586297345,3,72
832040443403784192,11131,0
832032802820481025,4746,13887
831939777352105988,7031,26404
831926988323639298,39,369
831911600680497154,7458,30380
831670449226514432,2059,11469
831650051525054464,2243,7908
831552930092285952,2632,9872
831322785565769729,1744,10042
831315979191906304,1264,7117
831309418084069378,2786,12819
831262627380748289,2350,13066
830956169170665475,1735,8735
830583320585068544,19297,73397
830173239259324417,6554,0
830097400375152640,3455,10804
829878982036299777,5757,0
829861396166877184,2243,13441
829501995190984704,12224,34913
829449946868879360,2329,11519
829374341691346946,10706,38074
829141528400556032,8530,26952
829011960981237760,18627,58302
828801551087042563,3901,0
828770345708580865,6746,28085
828708714936930305,12882,40241
828650029636317184,1544,10467
828409743546925057,1305,6898
828408677031882754,1477,8398
828381636999917570,2554,13864
828376505180889089,1216,8112
828372645993398273,3344,13756
828361771580813312,195,2408
828046555563323392,3260,12923
828011680017821696,2451,11411
827933404142436356,5987,22180
827653905312006145,3433,16983
827600520311402496,1082,8143
827324948884643840,3510,17523
827228250799742977,13517,0
827199976799354881,2579,11659
826958653328592898,5757,23767
826848821049180160,11878,40325
826615380357632002,4521,0
826598799820865537,292,5637
826598365270007810,2709,11117
826476773533745153,4821,20275
826240494070030336,2965,14614
826204788643753985,1075,5361
826115272272650244,3599,17299
825876512159186944,2146,11525
825829644528148480,2848,14025
825535076884762624,19669,56413
825147591692263424,5244,20181
825120256414846976,1483,0
825026590719483904,1483,7020
824796380199809024,6288,0
824775126675836928,4069,16508
824663926340194305,1993,11113
824325613288833024,11848,12999
824297048279236611,4463,16625
824025158776213504,679,5255
823939628516474880,3123,11755
823719002937630720,12953,0
823699002998870016,2772,13826
823581115634085888,3031,14376
823333489516937216,31,777
823322678127919110,4637,17437
823269594223824897,11421,0
822975315408461824,3958,19139
822872901745569793,48265,132810
822859134160621569,2622,14576
822647212903690241,7390,0
822610361945911296,3423,16327
822489057087389700,7390,20083
822462944365645825,17209,31800
822244816520155136,11421,38832
822163064745328640,5571,0
821886076407029760,2692,12582
821813639212650496,3839,0
821765923262631936,1899,9317
821522889702862852,2030,8871
821421320206483457,6470,0
821407182352777218,5053,13075
821153421864615936,10,280
821149554670182400,2320,9718
821107785811234820,2487,10645
821044531881721856,2636,14021
820837357901512704,7733,0
820749716845686786,11525,34984
820690176645140481,3716,13518
820494788566847489,648,0
820446719150292993,2980,0
820314633777061888,648,3706
820078625395449857,7246,21979
820013781606658049,1369,0
819952236453363712,1369,5927
819924195358416896,5607,14305
819711362133872643,3604,14916
819588359383371776,2271,10606
819347104292290561,1383,8008
819238181065359361,462,2550
819227688460238848,7733,25652
819015337530290176,42228,0
819015331746349057,21794,0
819006400881917954,21794,49960
819004803107983360,42228,95450
818646164899774465,24069,0
818627210458333184,8564,24597
818614493328580609,2982,10971
818588835076603904,7126,0
818536468981415936,2873,12127
818307523543449600,9366,0
818259473185828864,2621,12197
818145370475810820,3014,13671
817908911860748288,906,5356
817827839487737858,31314,57622
817777686764523521,3084,11901
817536400337801217,3505,13105
817502432452313088,3917,0
817423860136083457,17504,38260
817415592588222464,1131,6267
817181837579653120,9907,0
817171292965273600,2326,9690
817120970343411712,3011,13367
817056546584727552,1927,9517
816829038950027264,5496,0
816816676327063552,2361,11071
816697700272001025,2545,10905
816450570814898180,9366,33961
816336735214911488,2269,9564
816091915477250048,2500,9927
816062466425819140,1207,0
816014286006976512,6154,0
815990720817401858,1207,5545
815966073409433600,9907,25057
815745968457060357,4797,0
815736392542261248,2625,10937
815639385530101762,1918,9161
815390420867969024,4407,11467
814986499976527872,1505,8485
814638523311648768,3130,12511
814578408554463233,6750,0
814530161257443328,2156,9629
814153002265309185,10080,32000
813944609378369540,3732,0
813910438903693312,2194,10342
813812741911748608,16267,40402
813800681631023104,2060,9300
813217897535406080,8476,20783
813202720496779264,2090,10192
813187593374461952,5096,22085
813172488309972993,2236,10384
813157409116065792,2557,8588
813142292504645637,2728,9361
813130366689148928,513,4968
813127251579564032,3652,13242
813112105746448384,3225,11515
813096984823349248,4207,11694
813081950185472002,3220,10989
813066809284972545,2276,8865
813051746834595840,8503,23337
812781120811126785,2191,8380
812747805718642688,8067,0
812709060537683968,1665,7373
812503143955202048,1424,6787
812466873996607488,2231,8900
812372279581671427,4252,15224
811985624773361665,1647,8102
811744202451197953,1884,8429
811647686436880384,872,6215
811627233043480576,3650,14265
811386762094317568,7444,23302
810984652412424192,1655,5927
810896069567610880,2090,10093
810657578271330305,3057,12192
810284430598270976,13369,39640
810254108431155201,3901,16380
809920764300447744,4521,17250
809808892968534016,5711,0
809448704142938112,1696,7727
809220051211603969,6554,22246
809084759137812480,4046,14685
808838249661788160,3536,11271
808733504066486276,2509,8784
808501579447930884,3007,12595
808344865868283904,24069,47281
808134635716833280,6961,0
808106460588765185,2525,9701
808001312164028416,4098,14015
807621403335917568,4288,16236
807106840509214720,56625,107015
807059379405148160,8521,0
807010152071229440,4418,14514
806629075125202948,37911,75639
806620845233815552,6426,0
806576416489959424,2230,5370
806542213899489280,2752,11363
806242860592926720,13616,0
806219024703037440,1388,7145
805958939288408065,6238,0
805932879469572096,2209,9178
805826884734976000,2132,7335
805823200554876929,9374,0
805520635690676224,1905,6368
805487436403003392,2929,9773
805207613751304193,1972,8680
804738756058218496,4480,15326
804475857670639616,2355,6886
804413760345620481,3712,0
804026241225523202,18876,49774
803773340896923648,3220,11203
803692223237865472,8689,0
803638050916102144,4828,12270
803380650405482500,2169,8601
803321560782307329,6221,0
803276597545603072,2887,11207
802952499103731712,2336,10085
802624713319034886,3403,0
802600418706604034,1714,7938
802572683846291456,2926,9959
802323869084381190,6808,18124
802265048156610565,1573,7039
802247111496568832,5247,0
802239329049477120,3040,10132
802185808107208704,314,0
801958328846974976,1992,8608
801854953262350336,275,1958
801538201127157760,2391,9141
801285448605831168,960,6802
801167903437357056,6961,27386
801127390143516673,4627,0
801115127852503040,2429,8992
800859414831898624,113,778
800855607700029440,1889,0
800751577355128832,3214,11701
800513324630806528,3495,14685
800459316964663297,2489,10538
800443802682937345,5068,0
800388270626521089,3265,12456
800188575492947969,4581,0
800141422401830912,2980,17092
800018252395122689,15351,31768
799774291445383169,5488,0
799757965289017345,2506,9390
799422933579902976,2213,8965
799308762079035393,6478,0
799297110730567681,3227,11065
799063482566066176,2863,9058
798933969379225600,5203,14712
798925684722855936,1663,8246
798705661114773508,7724,0
798701998996647937,9126,0
798697898615730177,7602,0
798694562394996736,5812,0
798686750113755136,2702,0
798682547630837760,5515,0
798673117451325440,6485,0
798665375516884993,4519,0
798644042770751489,2153,0
798628517273620480,2272,0
798585098161549313,6618,0
798576900688019456,6871,0
798340744599797760,3924,0
798209839306514432,2954,11548
797971864723324932,3652,13018
797545162159308800,5656,16198
797236660651966464,7726,22328
797165961484890113,32,256
796904159865868288,10411,0
796865951799083009,2198,8564
796759840936919040,3562,13256
796563435802726400,8536,0
796484825502875648,2042,8472
796387464403357696,4861,12334
796177847564038144,16628,0
796149749086875649,16628,36177
796125600683540480,2079,5511
796116448414461957,2813,10139
796080075804475393,2703,9469
796031486298386433,4284,12071
795464331001561088,27728,55683
795400264262053889,3323,11270
795076730285391872,6288,18139
794983741416415232,3942,0
794926597468000259,2697,11492
794355576146903043,12014,0
794332329137291264,3088,10686
794205286408003585,3895,10314
793962221541933056,5711,18910
793845145112371200,2187,10295
793614319594401792,3661,0
793601777308463104,1908,8926
793500921481273345,2786,11953
793286476301799424,10723,27597
793271401113350145,2763,9677
793256262322548741,9714,22350
793241302385262592,3812,11780
793226087023144960,3338,11001
793210959003287553,3301,9997
793195938047070209,6547,17063
793180763617361921,2310,7740
793165685325201412,3238,10478
793150605191548928,1984,6909
793135492858580992,2893,7214
793120401413079041,4551,14202
792913359805018113,4715,16063
792883833364439040,4964,12666
792773781206999040,1963,8209
792394556390137856,4998,15128
792050063153438720,2088,8029
791821351946420224,24514,0
791784077045166082,11271,0
791780927877898241,4432,0
791774931465953280,21156,37818
791672322847637504,3661,13129
791406955684368384,4797,14670
791312159183634433,2963,9841
791026214425268224,4858,0
790987426131050500,2483,11089
790946055508652032,5496,18601
790723298204217344,2704,0
790698755171364864,2203,9158
790581949425475584,8183,22473
790337589677002753,2167,8740
790277117346975746,3732,14081
790227638568808452,4190,0
789986466051088384,2704,10369
789960241177853952,4839,0
789903600034189313,4858,11673
789628658055020548,2080,8448
789599242079838210,2279,7620
789530877013393408,3942,13188
789314372632018944,2666,9615
789280767834746880,5747,0
789268448748703744,3014,10196
789137962068021249,3244,10875
788908386943430656,14409,30653
788765914992902144,12014,30658
788552643979468800,8407,0
788412144018661376,5990,16060
788178268662984705,2488,8100
788150585577050112,1510,6865
788070120937619456,3952,0
788039637453406209,1535,6867
787810552592695296,3540,9717
787717603741622272,3240,11416
787397959788929025,3300,12120
787322443945877504,2032,8726
787111942498508800,7798,0
786963064373534720,9327,29725
786729988674449408,2827,0
786709082849828864,7069,20296
786664955043049472,2996,11957
786595970293370880,3601,10497
786363235746385920,4072,12189
786286427768250368,3352,8930
786233965241827333,5571,17178
786051337297522688,179,1614
786036967502913536,8237,0
785927819176054784,3652,12696
785872687017132033,2130,7489
785639753186217984,2561,8735
785533386513321988,2334,10183
785515384317313025,1477,6800
785264754247995392,1911,8128
785170936622350336,5639,13491
784826020293709826,3712,11310
784517518371221505,2970,10039
784431430411685888,1491,6329
784183165795655680,9374,22513
784057939640352768,12953,33505
783839966405230592,12643,33689
783821107061198850,2269,8209
783695101801398276,3737,11650
783466772167098368,2608,9468
783391753726550016,6441,18908
783347506784731136,6533,0
783334639985389568,13616,32651
783085703974514689,2565,9112
782969140009107456,8521,26949
782747134529531904,1604,8310
782722598790725632,6238,19250
782598640137187329,2184,8694
782305867769217024,6470,18630
782021823840026624,7236,0
781955203444699136,3920,12357
781661882474196992,3129,11634
781655249211752448,1314,4466
781524693396357120,6426,23163
781308096455073793,2961,7973
781251288990355457,2458,9428
781163403222056960,3168,10895
780931614150983680,8536,24192
780858289093574656,2328,8033
780800785462489090,1505,6141
780601303617732608,3839,13525
780543529827336192,2032,7040
780496263422808064,4319,0
780476555013349377,136,0
780459368902959104,1224,5892
780192070812196864,2589,9712
780092040432480260,2655,0
780074436359819264,5815,13723
779834332596887552,8237,21252
779377524342161408,3613,9831
779124354206535695,21324,0
779123168116150273,4207,13206
779056095788752897,5247,16500
778990705243029504,8437,22342
778774459159379968,11550,0
778764940568104960,426,955
778748913645780993,1562,7717
778650543019483137,1729,6430
778624900596654080,1176,5177
778408200802557953,5023,15135
778396591732486144,14198,0
778383385161035776,1271,6515
778286810187399168,3836,11576
778039087836069888,3065,9417
778027034220126208,1885,7320
777953400541634568,4080,0
777885040357281792,1893,7078
777684233540206592,3403,12518
777641927919427584,4947,0
777621514455814149,2910,9742
777189768882946048,4999,15921
776819012571455488,15839,0
